FirstName,LastName,FinalGrade
Vardas8499,Pavarde8499,5
Vardas192,Pavarde192,5
Vardas911,Pavarde911,5
Vardas2085,Pavarde2085,5
Vardas2024,Pavarde2024,5
Vardas4760,Pavarde4760,5
Vardas6145,Pavarde6145,5
Vardas9411,Pavarde9411,5
Vardas7057,Pavarde7057,5
Vardas7466,Pavarde7466,5
Vardas9190,Pavarde9190,5
Vardas9266,Pavarde9266,5
Vardas3159,Pavarde3159,5
Vardas2904,Pavarde2904,5
Vardas6273,Pavarde6273,5
Vardas4867,Pavarde4867,5
Vardas3177,Pavarde3177,5
Vardas1684,Pavarde1684,5
Vardas4491,Pavarde4491,5
Vardas7219,Pavarde7219,5
Vardas8966,Pavarde8966,5
Vardas7612,Pavarde7612,5
Vardas5459,Pavarde5459,5
Vardas941,Pavarde941,5.01333
Vardas3829,Pavarde3829,5.01333
Vardas3608,Pavarde3608,5.01333
Vardas6262,Pavarde6262,5.01333
Vardas8951,Pavarde8951,5.01333
Vardas156,Pavarde156,5.01333
Vardas2015,Pavarde2015,5.01333
Vardas2313,Pavarde2313,5.01333
Vardas5405,Pavarde5405,5.01333
Vardas7998,Pavarde7998,5.01333
Vardas6116,Pavarde6116,5.01333
Vardas72,Pavarde72,5.01333
Vardas6352,Pavarde6352,5.01333
Vardas1654,Pavarde1654,5.02667
Vardas6717,Pavarde6717,5.02667
Vardas9746,Pavarde9746,5.02667
Vardas8589,Pavarde8589,5.02667
Vardas7431,Pavarde7431,5.02667
Vardas1415,Pavarde1415,5.02667
Vardas2780,Pavarde2780,5.02667
Vardas358,Pavarde358,5.02667
Vardas5779,Pavarde5779,5.02667
Vardas9440,Pavarde9440,5.02667
Vardas3644,Pavarde3644,5.02667
Vardas6591,Pavarde6591,5.02667
Vardas9394,Pavarde9394,5.02667
Vardas5285,Pavarde5285,5.02667
Vardas3904,Pavarde3904,5.02667
Vardas8691,Pavarde8691,5.02667
Vardas8717,Pavarde8717,5.02667
Vardas3713,Pavarde3713,5.02667
Vardas2492,Pavarde2492,5.02667
Vardas1372,Pavarde1372,5.02667
Vardas9609,Pavarde9609,5.02667
Vardas8763,Pavarde8763,5.02667
Vardas5798,Pavarde5798,5.02667
Vardas4180,Pavarde4180,5.02667
Vardas9119,Pavarde9119,5.02667
Vardas56,Pavarde56,5.02667
Vardas9883,Pavarde9883,5.02667
Vardas6199,Pavarde6199,5.02667
Vardas9294,Pavarde9294,5.02667
Vardas79,Pavarde79,5.04
Vardas7840,Pavarde7840,5.04
Vardas5316,Pavarde5316,5.04
Vardas4218,Pavarde4218,5.04
Vardas162,Pavarde162,5.04
Vardas1881,Pavarde1881,5.04
Vardas2527,Pavarde2527,5.04
Vardas2619,Pavarde2619,5.04
Vardas5908,Pavarde5908,5.04
Vardas7448,Pavarde7448,5.04
Vardas5054,Pavarde5054,5.05333
Vardas8887,Pavarde8887,5.05333
Vardas4286,Pavarde4286,5.05333
