FirstName,LastName,FinalGrade
Vardas367,Pavarde367,1.74667
Vardas1332,Pavarde1332,1.90667
Vardas2919,Pavarde2919,1.93333
Vardas7566,Pavarde7566,1.96
Vardas4368,Pavarde4368,1.96
Vardas4088,Pavarde4088,2.04
Vardas9264,Pavarde9264,2.04
Vardas4020,Pavarde4020,2.06667
Vardas7629,Pavarde7629,2.09333
Vardas4679,Pavarde4679,2.09333
Vardas904,Pavarde904,2.09333
Vardas49,Pavarde49,2.12
Vardas4140,Pavarde4140,2.12
Vardas343,Pavarde343,2.14667
Vardas40,Pavarde40,2.14667
Vardas9631,Pavarde9631,2.14667
Vardas707,Pavarde707,2.17333
Vardas3322,Pavarde3322,2.17333
Vardas8729,Pavarde8729,2.17333
Vardas8678,Pavarde8678,2.17333
Vardas4472,Pavarde4472,2.17333
Vardas5934,Pavarde5934,2.17333
Vardas2084,Pavarde2084,2.17333
Vardas8254,Pavarde8254,2.17333
Vardas3867,Pavarde3867,2.2
Vardas1925,Pavarde1925,2.2
Vardas6817,Pavarde6817,2.2
Vardas1759,Pavarde1759,2.2
Vardas4835,Pavarde4835,2.22667
Vardas3368,Pavarde3368,2.22667
Vardas9193,Pavarde9193,2.22667
Vardas9183,Pavarde9183,2.22667
Vardas7906,Pavarde7906,2.25333
Vardas2893,Pavarde2893,2.25333
Vardas5999,Pavarde5999,2.25333
Vardas5988,Pavarde5988,2.28
Vardas6816,Pavarde6816,2.28
Vardas9606,Pavarde9606,2.28
Vardas3737,Pavarde3737,2.28
Vardas5266,Pavarde5266,2.28
Vardas7444,Pavarde7444,2.28
Vardas5983,Pavarde5983,2.28
Vardas815,Pavarde815,2.28
Vardas4859,Pavarde4859,2.28
Vardas132,Pavarde132,2.30667
Vardas914,Pavarde914,2.30667
Vardas7554,Pavarde7554,2.30667
Vardas7349,Pavarde7349,2.30667
Vardas3626,Pavarde3626,2.30667
Vardas9299,Pavarde9299,2.30667
Vardas537,Pavarde537,2.30667
Vardas9695,Pavarde9695,2.30667
Vardas1089,Pavarde1089,2.30667
Vardas8983,Pavarde8983,2.30667
Vardas5603,Pavarde5603,2.30667
Vardas5679,Pavarde5679,2.30667
Vardas6617,Pavarde6617,2.33333
Vardas5329,Pavarde5329,2.33333
Vardas3767,Pavarde3767,2.33333
Vardas6639,Pavarde6639,2.33333
Vardas111,Pavarde111,2.33333
Vardas5878,Pavarde5878,2.33333
Vardas5115,Pavarde5115,2.36
Vardas3597,Pavarde3597,2.36
Vardas9046,Pavarde9046,2.36
Vardas2650,Pavarde2650,2.36
Vardas4882,Pavarde4882,2.36
Vardas6180,Pavarde6180,2.36
Vardas4243,Pavarde4243,2.36
Vardas1076,Pavarde1076,2.36
Vardas379,Pavarde379,2.36
Vardas5252,Pavarde5252,2.36
Vardas8952,Pavarde8952,2.36
Vardas9494,Pavarde9494,2.36
Vardas2379,Pavarde2379,2.36
Vardas6807,Pavarde6807,2.36
Vardas8450,Pavarde8450,2.38667
Vardas761,Pavarde761,2.38667
Vardas5093,Pavarde5093,2.38667
Vardas2331,Pavarde2331,2.38667
Vardas4920,Pavarde4920,2.38667
Vardas6087,Pavarde6087,2.38667
Vardas5949,Pavarde5949,2.38667
Vardas4273,Pavarde4273,2.38667
Vardas7672,Pavarde7672,2.38667
Vardas1967,Pavarde1967,2.38667
Vardas1268,Pavarde1268,2.38667
Vardas365,Pavarde365,2.38667
Vardas2324,Pavarde2324,2.38667
Vardas155,Pavarde155,2.41333
Vardas566,Pavarde566,2.41333
Vardas5947,Pavarde5947,2.41333
Vardas4183,Pavarde4183,2.41333
Vardas6499,Pavarde6499,2.41333
Vardas6648,Pavarde6648,2.41333
Vardas738,Pavarde738,2.41333
Vardas2400,Pavarde2400,2.41333
Vardas8447,Pavarde8447,2.41333
Vardas3090,Pavarde3090,2.41333
Vardas9330,Pavarde9330,2.41333
Vardas995,Pavarde995,2.44
Vardas3826,Pavarde3826,2.44
Vardas2007,Pavarde2007,2.44
Vardas227,Pavarde227,2.44
Vardas3908,Pavarde3908,2.44
Vardas1197,Pavarde1197,2.44
Vardas6368,Pavarde6368,2.44
Vardas201,Pavarde201,2.44
Vardas5674,Pavarde5674,2.44
Vardas768,Pavarde768,2.44
Vardas2345,Pavarde2345,2.44
Vardas7932,Pavarde7932,2.44
Vardas720,Pavarde720,2.44
Vardas5394,Pavarde5394,2.44
Vardas2716,Pavarde2716,2.44
Vardas7094,Pavarde7094,2.44
Vardas6818,Pavarde6818,2.44
Vardas6875,Pavarde6875,2.44
Vardas7049,Pavarde7049,2.44
Vardas5528,Pavarde5528,2.44
Vardas9823,Pavarde9823,2.46667
Vardas6664,Pavarde6664,2.46667
Vardas5454,Pavarde5454,2.46667
Vardas4216,Pavarde4216,2.46667
Vardas8367,Pavarde8367,2.46667
Vardas933,Pavarde933,2.46667
Vardas9339,Pavarde9339,2.46667
Vardas1128,Pavarde1128,2.46667
Vardas9594,Pavarde9594,2.46667
Vardas9414,Pavarde9414,2.46667
Vardas4483,Pavarde4483,2.46667
Vardas8879,Pavarde8879,2.46667
Vardas8575,Pavarde8575,2.46667
Vardas3347,Pavarde3347,2.46667
Vardas1896,Pavarde1896,2.46667
Vardas4397,Pavarde4397,2.46667
Vardas4121,Pavarde4121,2.46667
Vardas7327,Pavarde7327,2.46667
Vardas8727,Pavarde8727,2.46667
Vardas4312,Pavarde4312,2.46667
Vardas1857,Pavarde1857,2.46667
Vardas1594,Pavarde1594,2.46667
Vardas9128,Pavarde9128,2.46667
Vardas4311,Pavarde4311,2.46667
Vardas9923,Pavarde9923,2.46667
Vardas4984,Pavarde4984,2.46667
Vardas8642,Pavarde8642,2.46667
Vardas2152,Pavarde2152,2.46667
Vardas8332,Pavarde8332,2.48
Vardas4610,Pavarde4610,2.49333
Vardas5793,Pavarde5793,2.49333
Vardas3037,Pavarde3037,2.49333
Vardas9524,Pavarde9524,2.49333
Vardas767,Pavarde767,2.49333
Vardas4482,Pavarde4482,2.49333
Vardas3222,Pavarde3222,2.49333
Vardas14,Pavarde14,2.49333
Vardas269,Pavarde269,2.49333
Vardas9805,Pavarde9805,2.49333
Vardas3800,Pavarde3800,2.49333
Vardas7493,Pavarde7493,2.49333
Vardas1588,Pavarde1588,2.49333
Vardas1213,Pavarde1213,2.49333
Vardas2668,Pavarde2668,2.49333
Vardas6571,Pavarde6571,2.49333
Vardas48,Pavarde48,2.49333
Vardas5488,Pavarde5488,2.52
Vardas9977,Pavarde9977,2.52
Vardas893,Pavarde893,2.52
Vardas7743,Pavarde7743,2.52
Vardas8851,Pavarde8851,2.52
Vardas1367,Pavarde1367,2.52
Vardas6187,Pavarde6187,2.52
Vardas504,Pavarde504,2.52
Vardas7488,Pavarde7488,2.52
Vardas1867,Pavarde1867,2.52
Vardas9566,Pavarde9566,2.52
Vardas6169,Pavarde6169,2.52
Vardas7833,Pavarde7833,2.52
Vardas2973,Pavarde2973,2.52
Vardas2055,Pavarde2055,2.52
Vardas7961,Pavarde7961,2.52
Vardas6452,Pavarde6452,2.52
Vardas6863,Pavarde6863,2.52
Vardas1088,Pavarde1088,2.52
Vardas3056,Pavarde3056,2.52
Vardas3914,Pavarde3914,2.54667
Vardas6017,Pavarde6017,2.54667
Vardas5496,Pavarde5496,2.54667
Vardas1802,Pavarde1802,2.54667
Vardas7928,Pavarde7928,2.54667
Vardas5644,Pavarde5644,2.54667
Vardas3004,Pavarde3004,2.54667
Vardas7953,Pavarde7953,2.54667
